Sort algorithm time record(Millisecond):
Data size,mergeSort,mergeSortNotOpt,radixSort,sort(STL),quickSort,quickStNotOpt,heapSort,shellSort,insertionSort,bubbleSort,selectionSort
100,0.00193939,0.00332468,0.00609523,0.00221645,0.00360173,0.00443289,0.00415584,0.00277055,0.00193939,0.00554112,0.00775757
200,0.00387878,0.00609523,0.0119134,0.00470995,0.00554111,0.00775757,0.00858873,0.00692639,0.00720346,0.0210563,0.0290909
300,0.00664935,0.00914284,0.0169004,0.00775757,0.009974,0.0121905,0.0127446,0.0113593,0.014961,0.0440519,0.0656622
400,0.00858873,0.0113593,0.0227186,0.0110822,0.0113593,0.0169004,0.0177316,0.0163463,0.0265974,0.0756363,0.116918
500,0.0108052,0.0144069,0.0285368,0.0138528,0.0218874,0.0218874,0.0243809,0.0207792,0.0407272,0.116641,0.183965
600,0.0141299,0.019948,0.0340779,0.0171775,0.0193939,0.0260432,0.0301991,0.0257662,0.0567965,0.164294,0.26542
700,0.0169004,0.0207792,0.0423896,0.019948,0.0227186,0.0354632,0.0362943,0.0304762,0.0784068,0.224415,0.360173
800,0.0191169,0.0241039,0.0457142,0.0229956,0.0268744,0.0565194,0.0421125,0.0357402,0.102788,0.295342,0.467947
900,0.0216104,0.0268744,0.0509783,0.0271515,0.0335238,0.039619,0.0479307,0.0410043,0.132987,0.387047,0.596224
1000,0.0238268,0.0301991,0.0567965,0.029922,0.0418354,0.0454372,0.0512553,0.0462683,0.161247,0.46019,0.74251
1100,0.0263203,0.0340779,0.0612294,0.0329697,0.0401731,0.0576276,0.0603982,0.0531947,0.196987,0.565194,0.900432
1200,0.029922,0.0371255,0.0678787,0.0371255,0.0390649,0.0626146,0.0662164,0.0573506,0.237714,0.734475,1.06029
1300,0.0329697,0.039619,0.0728657,0.0404501,0.0520865,0.0656622,0.0689869,0.0634458,0.278441,0.786562,1.2462
1400,0.0354632,0.0432207,0.0947531,0.0451601,0.0623376,0.0706492,0.079515,0.0698181,0.321662,0.915393,1.47144
1500,0.0387878,0.0476536,0.0847791,0.0482077,0.0944761,0.0678787,0.0861644,0.0778527,0.362666,1.02455,1.67037
1600,0.0410043,0.0498701,0.0905973,0.0509783,0.0612294,0.0772986,0.0922596,0.0806233,0.409212,1.18275,1.897
1700,0.0434978,0.0534718,0.0961384,0.05458,0.0628917,0.0861644,0.098909,0.0869955,0.46019,1.46369,2.19899
1800,0.0457142,0.0559653,0.10168,0.0587358,0.154043,0.0947531,0.105004,0.094199,0.51754,1.48447,2.46303
1900,0.0490389,0.0601211,0.107498,0.0603982,0.0723116,0.0903202,0.112762,0.0986319,0.578216,1.65652,2.70213
2000,0.0529177,0.0637229,0.113039,0.0656622,0.0950302,0.0958613,0.116641,0.105281,0.643601,1.8499,2.99691
2100,0.0534718,0.0667705,0.116363,0.0678787,0.0853332,0.100294,0.126337,0.109991,0.716744,2.03747,3.30168
2200,0.0562423,0.0712034,0.124121,0.0723116,0.0828397,0.105558,0.151827,0.117749,0.808172,2.20814,3.70728
2300,0.0756363,0.0994631,0.219428,0.098909,0.121905,0.182857,0.151827,0.158753,1.43931,2.9138,3.96799
2400,0.0653852,0.0797921,0.137974,0.0797921,0.164571,0.115532,0.146008,0.131879,0.933401,2.65336,4.28218
2500,0.0670475,0.0858873,0.141576,0.084225,0.104173,0.134649,0.153212,0.137697,1.00848,2.86171,4.6864
2600,0.0706492,0.084225,0.14684,0.0900432,0.0958613,0.129939,0.160692,0.143792,1.09049,3.08945,5.06403
2700,0.074251,0.0883808,0.149333,0.0911514,0.101957,0.168727,0.167896,0.150718,1.18829,3.33852,5.47296
2800,0.0756363,0.0903202,0.155151,0.094199,0.103619,0.135757,0.178701,0.155705,1.2897,3.64827,5.90406
2900,0.0806233,0.0972466,0.166788,0.099186,0.112762,0.154874,0.180086,0.162355,1.54098,3.87296,6.38835
3000,0.084502,0.0986319,0.171498,0.103065,0.129108,0.147117,0.187567,0.170666,1.46369,4.1201,6.76681
3100,0.0850562,0.101402,0.175099,0.106944,0.116641,0.153766,0.195601,0.177593,1.60055,4.43483,7.24557
3200,0.0881038,0.105281,0.181195,0.111099,0.120242,0.169558,0.20613,0.188121,1.67563,4.65509,7.62458
3300,0.0930908,0.110268,0.191446,0.116918,0.130493,0.169281,0.218597,0.202805,1.94299,4.93963,8.11358
3400,0.0933678,0.112762,0.188121,0.120796,0.138528,0.167342,0.215827,0.19948,1.86126,5.25381,8.65218
3500,0.0969696,0.115809,0.199757,0.124398,0.179532,0.189229,0.226078,0.215827,2.00173,5.57492,9.13259
3600,0.0983548,0.117195,0.205021,0.12606,0.139636,0.18064,0.23245,0.215827,2.0854,6.01793,9.79974
3700,0.102788,0.124952,0.21084,0.132987,0.145454,0.188398,0.234112,0.221922,2.25053,6.22323,10.263
3800,0.106389,0.126892,0.219151,0.134095,0.154043,0.2089,0.248796,0.234666,2.33059,6.76072,10.8257
3900,0.109714,0.13271,0.220814,0.140467,0.15903,0.193662,0.248519,0.233558,2.45167,7.1655,11.4208
4000,0.112762,0.139359,0.229956,0.14213,0.163186,0.205853,0.262926,0.242424,2.62206,7.49519,12.2486
4100,0.114147,0.137143,0.25129,0.166511,0.161801,0.210562,0.263203,0.247688,5.08425,8.03019,12.6764
4200,0.116363,0.144346,0.244363,0.153212,0.198095,0.225246,0.271515,0.256277,2.85478,8.13935,13.9193
4300,0.119134,0.146563,0.24187,0.153489,0.17316,0.234389,0.280381,0.257939,3.00827,8.47791,13.8927
4400,0.123013,0.151827,0.248519,0.162632,0.170389,0.234943,0.292571,0.268744,3.25014,9.31074,14.5238
4500,0.125229,0.153212,0.253783,0.160692,0.185073,0.230233,0.295619,0.274008,3.27591,9.42018,15.2361
4600,0.132156,0.154874,0.260433,0.164848,0.425281,0.240207,0.310026,0.28232,3.46154,9.64265,16.4386
4700,0.136034,0.159307,0.270961,0.167896,0.207792,0.297281,0.316952,0.293956,3.55296,10.0987,16.6134
4800,0.145177,0.169281,0.271238,0.172883,0.185627,0.267913,0.325264,0.297558,3.76076,10.583,17.4476
4900,0.143792,0.165956,0.271238,0.179255,0.202528,0.248796,0.331913,0.313904,3.90704,10.9664,18.0895
5000,0.149333,0.169004,0.287861,0.185904,0.216935,0.272346,0.356848,0.31058,4.01565,11.372,18.6276
5100,0.15432,0.17316,0.290355,0.185905,0.218597,0.281489,0.339393,0.312519,4.20543,11.8984,19.5042
5200,0.154597,0.177593,0.304207,0.190892,0.214164,0.267913,0.361835,0.327757,4.40131,12.3891,20.3498
5300,0.158476,0.182303,0.298112,0.192554,0.213056,0.301991,0.35851,0.335792,4.53624,12.8294,21.0986
5400,0.160969,0.184796,0.313904,0.199757,0.214164,0.288969,0.371255,0.341333,4.72519,13.3937,21.8996
5500,0.169004,0.188952,0.305039,0.205575,0.245472,0.308363,0.374857,0.359896,4.90444,13.8586,22.8156
